step,cafe_frobenius_norm,cafe_normalized_energy,passive_frobenius_norm,passive_normalized_energy,persistent_norm,working_norm,scratchpad_norm,unbounded_energy
22800,0.02243,0.00012,0.03278,0.00018,0.01728,0.01217,0.0075,999999.0
23000,0.02726,0.00015,0.03312,0.00018,0.02124,0.01425,0.00943,999999.0
23200,0.02959,0.00016,0.03337,0.00018,0.02285,0.01626,0.00943,999999.0
23400,0.03043,0.00017,0.03267,0.00018,0.02308,0.01726,0.00979,999999.0
23600,0.02239,0.00012,0.03244,0.00018,0.01738,0.01146,0.00824,999999.0
23800,0.02044,0.00011,0.03313,0.00018,0.01613,0.0108,0.0064,999999.0
24000,0.02457,0.00014,0.03251,0.00018,0.01864,0.01424,0.00734,999999.0
24200,0.03002,0.00017,0.03356,0.00019,0.02292,0.01692,0.00945,999999.0
24400,0.02248,0.00012,0.03251,0.00018,0.01746,0.01228,0.00706,999999.0
24600,0.0285,0.00016,0.03342,0.00018,0.02214,0.01519,0.00956,999999.0
24800,0.03079,0.00017,0.03356,0.00019,0.02436,0.01672,0.00869,999999.0
25000,0.02938,0.00016,0.03196,0.00018,0.02274,0.01594,0.00958,999999.0
25200,0.02519,0.00014,0.03361,0.00019,0.01933,0.0138,0.00841,999999.0
25400,0.02846,0.00016,0.03352,0.00019,0.02221,0.01494,0.00965,999999.0
25600,0.02301,0.00013,0.03219,0.00018,0.01767,0.01268,0.0075,999999.0
25800,0.03304,0.00018,0.03224,0.00018,0.02562,0.0179,0.01069,999999.0
26000,0.02167,0.00012,0.03288,0.00018,0.01689,0.01202,0.00632,999999.0
26200,0.02434,0.00013,0.03244,0.00018,0.01847,0.01362,0.00814,999999.0
26400,0.02585,0.00014,0.03194,0.00018,0.01983,0.01416,0.00862,999999.0
26600,0.02635,0.00015,0.03279,0.00018,0.02113,0.01369,0.00777,999999.0
26800,0.02343,0.00013,0.03235,0.00018,0.01848,0.01252,0.0071,999999.0
27000,0.02594,0.00014,0.03314,0.00018,0.02061,0.01346,0.00818,999999.0
27200,0.01744,0.0001,0.0318,0.00018,0.01338,0.00979,0.00541,999999.0
27400,0.01681,9e-05,0.03321,0.00018,0.01335,0.00877,0.00525,999999.0
27600,0.02701,0.00015,0.03274,0.00018,0.02092,0.01462,0.00884,999999.0
27800,0.02904,0.00016,0.03232,0.00018,0.02287,0.01568,0.00862,999999.0
28000,0.01804,0.0001,0.03283,0.00018,0.0137,0.01028,0.00565,999999.0
28200,0.02522,0.00014,0.03245,0.00018,0.01975,0.01387,0.00731,999999.0
28400,0.01863,0.0001,0.03273,0.00018,0.01418,0.01037,0.00619,999999.0
28600,0.01975,0.00011,0.03315,0.00018,0.01561,0.01065,0.00572,999999.0
28800,0.01926,0.00011,0.03241,0.00018,0.01558,0.01019,0.00493,999999.0
29000,0.022,0.00012,0.03257,0.00018,0.01704,0.01212,0.00685,999999.0
29200,0.02098,0.00012,0.03286,0.00018,0.01618,0.01194,0.00598,999999.0
29400,0.03719,0.00021,0.0329,0.00018,0.02963,0.01962,0.01097,999999.0
29600,0.02674,0.00015,0.03191,0.00018,0.02109,0.01397,0.00867,999999.0
29800,0.02326,0.00013,0.03286,0.00018,0.01818,0.01311,0.00623,999999.0
30000,0.02675,0.00015,0.03271,0.00018,0.0209,0.01436,0.00854,999999.0
30200,0.0207,0.00011,0.03291,0.00018,0.01667,0.01047,0.0064,999999.0
30400,0.02697,0.00015,0.03285,0.00018,0.0208,0.01456,0.0091,999999.0
30600,0.02595,0.00014,0.03272,0.00018,0.02116,0.01286,0.00777,999999.0
30800,0.02704,0.00015,0.03285,0.00018,0.02154,0.01409,0.00829,999999.0
31000,0.02459,0.00014,0.03304,0.00018,0.01882,0.01354,0.0082,999999.0
31200,0.01839,0.0001,0.03205,0.00018,0.01456,0.00973,0.00562,999999.0
31400,0.02297,0.00013,0.03389,0.00019,0.01864,0.01186,0.00626,999999.0
31600,0.0267,0.00015,0.03268,0.00018,0.02145,0.01404,0.00747,999999.0
31800,0.01932,0.00011,0.03252,0.00018,0.01492,0.01076,0.0059,999999.0
32000,0.02622,0.00014,0.03257,0.00018,0.02035,0.01437,0.00819,999999.0
32200,0.02825,0.00016,0.03237,0.00018,0.02194,0.01544,0.00882,999999.0
32400,0.02601,0.00014,0.03281,0.00018,0.02038,0.01366,0.00864,999999.0
